Column1,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
153,Byron Pringle,KAN,WR,0,0,0,42,568,5,1,0,0,0,0,0
154,Jared Cook,LAC,TE,0,0,0,48,564,4,0,0,0,0,0,0
155,Andy Dalton,CHI,QB,16,76,0,0,0,0,1,236,149,1515,8,9
156,T.J. Hockenson,DET,TE,0,0,0,61,583,4,0,0,0,0,0,0
157,Kalif Raymond,DET,WR,4,28,0,48,576,4,0,0,0,0,0,0
158,Brandon Bolden,NWE,RB,44,226,1,41,405,2,0,0,0,0,0,0
159,Tyler Huntley,BAL,QB,47,294,2,0,0,0,3,188,122,1081,3,4
160,Ty Johnson,NYJ,RB,61,238,2,34,372,2,1,0,0,0,0,0
161,Mecole Hardman,KAN,WR,8,46,0,59,693,2,2,0,0,0,0,0
162,Mark Ingram,2TM,RB,160,554,2,27,162,0,1,0,0,0,0,0
163,Zack Moss,BUF,RB,96,345,4,23,197,1,1,0,0,0,0,0
164,Tyrod Taylor,HOU,QB,19,151,3,0,0,0,0,150,91,966,5,5
165,Jarvis Landry,CLE,WR,6,40,2,52,570,2,2,0,0,0,0,0
166,Antonio Brown,TAM,WR,1,6,0,42,545,4,0,0,0,0,0,0
167,Rex Burkhead,HOU,RB,122,427,3,25,186,0,0,1,0,0,0,0
168,C.J. Uzomah,CIN,TE,0,0,0,49,493,5,0,0,0,0,0,0
169,Darren Waller,LVR,TE,0,0,0,55,665,2,0,0,0,0,0,0
170,Cole Beasley,BUF,WR,0,0,0,82,693,1,0,1,0,0,0,0
171,Tyler Conklin,MIN,TE,0,0,0,61,593,3,0,0,0,0,0,0
172,Deonte Harris,NOR,WR,5,41,0,36,570,3,1,0,0,0,0,0
173,Donovan Peoples-Jones,CLE,WR,0,0,0,34,597,3,1,0,0,0,0,0
174,Braxton Berrios,NYJ,WR,7,40,2,46,431,2,1,0,0,0,0,0
175,Bryan Edwards,LVR,WR,1,0,0,34,571,3,0,0,0,0,0,0
176,Kenyan Drake,LVR,RB,63,254,2,30,291,1,0,0,0,0,0,0
177,Nyheim Hines,IND,RB,56,276,2,40,310,1,2,0,0,0,0,0
178,Quez Watkins,PHI,WR,1,3,0,43,647,1,0,0,0,0,0,0
179,Jacoby Brissett,MIA,QB,19,70,1,0,0,0,3,225,141,1283,5,4
180,David Njoku,CLE,TE,1,1,0,36,475,4,0,0,0,0,0,0
181,Corey Davis,NYJ,WR,0,0,0,34,492,4,1,0,0,0,0,0
182,Gerald Everett,SEA,TE,3,20,0,48,478,4,2,0,0,0,0,0
183,Nick Westbrook-Ikhine,TEN,WR,0,0,0,38,476,4,1,0,0,0,0,0
184,Ronald Jones II,TAM,RB,101,428,4,10,64,0,2,0,0,0,0,0
185,Nelson Agholor,NWE,WR,3,11,0,37,473,3,0,0,0,0,0,0
186,Randall Cobb,GNB,WR,1,1,0,28,375,5,1,0,0,0,0,0
187,Jalen Guyton,LAC,WR,7,34,0,31,448,3,0,0,0,0,0,0
188,Khalil Herbert,CHI,RB,103,433,2,14,96,0,0,0,0,0,0,0
189,Trey Lance,SFO,QB,38,168,1,0,0,0,0,71,41,603,5,2
190,Justin Jackson,LAC,RB,68,364,2,22,178,0,1,0,0,0,0,0
191,DeVante Parker,MIA,WR,0,0,0,40,515,2,0,0,0,0,0,0
192,Laviska Shenault Jr.,JAX,WR,11,41,0,63,619,0,1,0,0,0,0,0
193,DeAndre Carter,WAS,WR,10,89,0,24,296,3,0,0,0,0,0,0
194,Freddie Swain,SEA,WR,5,32,0,25,343,4,0,0,0,0,0,0
195,Jordan Howard,PHI,RB,86,406,3,2,19,0,0,0,0,0,0,0
196,Cole Kmet,CHI,TE,1,0,0,60,612,0,0,0,0,0,0,0
197,Henry Ruggs III,LVR,WR,3,16,0,24,469,2,0,0,0,0,0,0
198,Marquez Valdes-Scantling,GNB,WR,0,0,0,26,430,3,0,0,0,0,0,0
199,Alex Collins,SEA,RB,108,411,2,9,87,0,1,0,0,0,0,0
200,Josh Palmer,LAC,WR,1,6,0,33,353,4,0,0,0,0,0,0
201,Jamison Crowder,NYJ,WR,0,0,0,51,447,2,1,0,0,0,0,0
202,Zay Jones,LVR,WR,2,3,0,47,546,1,1,0,0,0,0,0
203,Olamide Zaccheaus,ATL,WR,1,2,0,31,406,3,0,0,0,0,0,0
204,Rashod Bateman,BAL,WR,0,0,0,46,515,1,0,0,0,0,0,0
205,Jauan Jennings,SFO,WR,0,0,0,24,282,5,0,0,0,0,0,0
206,Evan Engram,NYG,TE,1,-3,0,46,408,3,1,0,0,0,0,0
207,Michael Gallup,DAL,WR,0,0,0,35,445,2,0,0,0,0,0,0
